input,output
"Data Scientist | Data Science | Python, SpaCy, Hugging Face, Transformers","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de recommandation
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, SpaCy, Hugging Face, Transformers
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Licence en mathématiques, statistiques ou data science
• Expérience : 10+ ans
• Compétences : Maîtrise de Python, SpaCy
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Architect | Data Science | Python, MLflow, Kubeflow, Docker","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de détection d'anomalies
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, MLflow, Kubeflow, Docker
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Doctorat en mathématiques, statistiques ou data science
• Expérience : Junior (0-2 ans)
• Compétences : Maîtrise de Python, MLflow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Research Scientist | Data Science | Python, Statistics, Jupyter, Git","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de recommandation
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Statistics, Jupyter, Git
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : BTS en mathématiques, statistiques ou data science
• Expérience : Junior (0-2 ans)
• Compétences : Maîtrise de Python, Statistics
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Research Scientist | Data Science | Python, XGBoost, LightGBM, CatBoost","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles prédictifs
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, XGBoost, LightGBM, CatBoost
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+2 en mathématiques, statistiques ou data science
• Expérience : 2-3 ans
• Compétences : Maîtrise de Python, XGBoost
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Machine Learning Engineer | Data Science | Python, TensorFlow, PyTorch, Pandas","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles prédictifs
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, TensorFlow, PyTorch, Pandas
Outils : Jupyter, Git, Docker
Cloud : GCP
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+2 en mathématiques, statistiques ou data science
• Expérience : Senior (5+ ans)
• Compétences : Maîtrise de Python, TensorFlow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Research Scientist | Data Science | Python, Prophet, ARIMA, LSTM","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles prédictifs
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Prophet, ARIMA, LSTM
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Licence en mathématiques, statistiques ou data science
• Expérience : Junior (0-2 ans)
• Compétences : Maîtrise de Python, Prophet
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Analyst | Data Science | Scala, Spark, Hadoop, Hive","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles prédictifs
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Scala, Spark, Hadoop, Hive
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+3 en mathématiques, statistiques ou data science
• Expérience : Expert (7+ ans)
• Compétences : Maîtrise de Scala, Spark
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Analyst | Data Science | Python, Ray, Horovod, DeepSpeed","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de NLP
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Ray, Horovod, DeepSpeed
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+5 en mathématiques, statistiques ou data science
• Expérience : Expert (7+ ans)
• Compétences : Maîtrise de Python, Ray
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Engineer | Data Science | Python, Spark, Kafka, Airflow","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de recommandation
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Spark, Kafka, Airflow
Outils : Jupyter, Git, Docker
Cloud : GCP
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+5 en mathématiques, statistiques ou data science
• Expérience : Senior (5+ ans)
• Compétences : Maîtrise de Python, Spark
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Scientist | Data Science | R, ggplot2, dplyr, Shiny","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de détection d'anomalies
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : R, ggplot2, dplyr, Shiny
Outils : Jupyter, Git, Docker
Cloud : GCP
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+3 en mathématiques, statistiques ou data science
• Expérience : 1-2 ans
• Compétences : Maîtrise de R, ggplot2
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Business Intelligence Analyst | Data Science | Julia, Flux, DataFrames, Plots","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de recommandation
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Julia, Flux, DataFrames, Plots
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Doctorat en mathématiques, statistiques ou data science
• Expérience : Confirmé (3-5 ans)
• Compétences : Maîtrise de Julia, Flux
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Analytics Manager | Data Science | Python, Optuna, Hyperopt, Ray Tune","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de NLP
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Optuna, Hyperopt, Ray Tune
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Doctorat en mathématiques, statistiques ou data science
• Expérience : Expert (7+ ans)
• Compétences : Maîtrise de Python, Optuna
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Scientist | Data Science | Python, Prophet, ARIMA, LSTM","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de classification
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Prophet, ARIMA, LSTM
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Doctorat en mathématiques, statistiques ou data science
• Expérience : 1-2 ans
• Compétences : Maîtrise de Python, Prophet
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Machine Learning Engineer | Data Science | Python, MLflow, Kubeflow, Docker","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de détection d'anomalies
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, MLflow, Kubeflow, Docker
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : BTS en mathématiques, statistiques ou data science
• Expérience : 2-3 ans
• Compétences : Maîtrise de Python, MLflow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Research Scientist | Data Science | Python, SpaCy, Hugging Face, Transformers","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de NLP
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, SpaCy, Hugging Face, Transformers
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+2 en mathématiques, statistiques ou data science
• Expérience : 5+ ans
• Compétences : Maîtrise de Python, SpaCy
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"AI Engineer | Data Science | Python, TensorFlow, PyTorch, Pandas","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de recommandation
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, TensorFlow, PyTorch, Pandas
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Licence en mathématiques, statistiques ou data science
• Expérience : 2-3 ans
• Compétences : Maîtrise de Python, TensorFlow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"AI Engineer | Data Science | Julia, Flux, DataFrames, Plots","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de classification
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Julia, Flux, DataFrames, Plots
Outils : Jupyter, Git, Docker
Cloud : GCP
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Doctorat en mathématiques, statistiques ou data science
• Expérience : 1-2 ans
• Compétences : Maîtrise de Julia, Flux
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"MLOps Engineer | Data Science | Python, TensorFlow, PyTorch, Pandas","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de NLP
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, TensorFlow, PyTorch, Pandas
Outils : Jupyter, Git, Docker
Cloud : GCP
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Master 2 en mathématiques, statistiques ou data science
• Expérience : 1-2 ans
• Compétences : Maîtrise de Python, TensorFlow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Architect | Data Science | Python, MLflow, Kubeflow, Docker","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles prédictifs
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, MLflow, Kubeflow, Docker
Outils : Jupyter, Git, Docker
Cloud : GCP
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+5 en mathématiques, statistiques ou data science
• Expérience : Junior (0-2 ans)
• Compétences : Maîtrise de Python, MLflow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"MLOps Engineer | Data Science | Python, Plotly, Seaborn, Bokeh","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de recommandation
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, Plotly, Seaborn, Bokeh
Outils : Jupyter, Git, Docker
Cloud : Azure
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : BTS en mathématiques, statistiques ou data science
• Expérience : 10+ ans
• Compétences : Maîtrise de Python, Plotly
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"MLOps Engineer | Data Science | Python, TensorFlow, PyTorch, Pandas","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de classification
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : Python, TensorFlow, PyTorch, Pandas
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Master 2 en mathématiques, statistiques ou data science
• Expérience : Senior (5+ ans)
• Compétences : Maîtrise de Python, TensorFlow
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Data Architect | Data Science | R, ggplot2, dplyr, Shiny","Exploitez la puissance des données pour créer de la valeur et générer des insights actionnables.

🎯 Missions principales :
• Analyser et explorer de grandes quantités de données
• Développer des modèles de détection d'anomalies
• Créer des visualisations et dashboards interactifs
• Collaborer avec les équipes métiers pour identifier les use cases
• Mettre en production les modèles développés
• Documenter les analyses et communiquer les résultats
• Assurer la qualité et la fiabilité des données

💻 Stack Data Science :
Langages : R, ggplot2, dplyr, Shiny
Outils : Jupyter, Git, Docker
Cloud : AWS
Visualisation : Tableau, Power BI, Matplotlib

👤 Profil recherché :
• Formation : Bac+2 en mathématiques, statistiques ou data science
• Expérience : 7+ ans
• Compétences : Maîtrise de R, ggplot2
• Excellente compréhension des statistiques et algos ML
• Qualités : Esprit analytique, curiosité, rigueur scientifique, communication"
"Motion Designer | Design | Illustrator, CorelDRAW, Affinity Designer, Inkscape","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces web et mobile
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Illustrator, CorelDRAW, Affinity Designer, Inkscape
Prototypage : Framer, ProtoPie
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : BTS en design, UX/UI
• Expérience : Confirmé (3-5 ans)
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Illustrator, CorelDRAW
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"UI Designer | Design | After Effects, Blender, DaVinci Resolve, Final Cut","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces e-commerce
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : After Effects, Blender, DaVinci Resolve, Final Cut
Prototypage : Figma, Principle
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Bac+5 en design, UX/UI
• Expérience : Senior (5+ ans)
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de After Effects, Blender
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Graphiste | Design | Sketch, Lunacy, Gravit Designer, Vectr","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces SaaS
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Sketch, Lunacy, Gravit Designer, Vectr
Prototypage : Framer, ProtoPie
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Bac+2 en design, UX/UI
• Expérience : 5+ ans
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Sketch, Lunacy
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"UX Designer | Design | Figma, Principle, Framer, Design Thinking","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces applications mobiles
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Figma, Principle, Framer, Design Thinking
Prototypage : Adobe XD, InVision
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Bac+2 en design, UX/UI
• Expérience : Confirmé (3-5 ans)
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Figma, Principle
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Brand Designer | Design | After Effects, Blender, DaVinci Resolve, Final Cut","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces SaaS
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : After Effects, Blender, DaVinci Resolve, Final Cut
Prototypage : Adobe XD, InVision
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Bac+2 en design, UX/UI
• Expérience : 2-3 ans
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de After Effects, Blender
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Graphiste | Design | After Effects, Blender, DaVinci Resolve, Final Cut","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces SaaS
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : After Effects, Blender, DaVinci Resolve, Final Cut
Prototypage : Figma, Principle
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Licence en design, UX/UI
• Expérience : 1-2 ans
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de After Effects, Blender
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Designer d'Interaction | Design | Sketch, Craft, Anima, Avocode","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces SaaS
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Sketch, Craft, Anima, Avocode
Prototypage : Figma, Principle
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : DUT en design, UX/UI
• Expérience : 3-5 ans
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Sketch, Craft
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Motion Designer | Design | Figma, Adobe XD, Sketch, Prototyping","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces e-commerce
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Figma, Adobe XD, Sketch, Prototyping
Prototypage : Figma, Principle
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Licence en design, UX/UI
• Expérience : Junior (0-2 ans)
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Figma, Adobe XD
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Design System Manager | Design | Illustrator, Photoshop, InDesign, Procreate","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces web et mobile
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Illustrator, Photoshop, InDesign, Procreate
Prototypage : Figma, Principle
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Licence en design, UX/UI
• Expérience : Senior (5+ ans)
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Illustrator, Photoshop
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Design System Manager | Design | Illustrator, CorelDRAW, Affinity Designer, Inkscape","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces dashboard
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Illustrator, CorelDRAW, Affinity Designer, Inkscape
Prototypage : Adobe XD, InVision
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Doctorat en design, UX/UI
• Expérience : 2-3 ans
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Illustrator, CorelDRAW
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
"Designer d'Interaction | Design | Illustrator, CorelDRAW, Affinity Designer, Inkscape","Créez des expériences utilisateur exceptionnelles et des interfaces visuellement attractives.

🎯 Missions principales :
• Concevoir des interfaces SaaS
• Conduire des recherches utilisateurs (interviews, tests, analytics)
• Créer des wireframes, maquettes et prototypes interactifs
• Maintenir et faire évoluer le design system
• Collaborer avec les développeurs pour l'implémentation
• Animer des ateliers de co-création
• Assurer la cohérence de l'expérience sur tous les supports

💻 Outils créatifs :
Design : Illustrator, CorelDRAW, Affinity Designer, Inkscape
Prototypage : Framer, ProtoPie
Collaboration : Miro, FigJam, Notion
Research : Optimal Workshop, Hotjar

👤 Profil recherché :
• Formation : Licence en design, UX/UI
• Expérience : 2-3 ans
• Portfolio obligatoire démontrant votre processus de design
• Maîtrise de Illustrator, CorelDRAW
• Qualités : Créativité, empathie, esprit d'analyse, sens du détail"
